"Lambda(microns)","THROUGHPUT","THROUGHPUT"
0.05,0,0
0.1,0,0
0.101,0,0
0.102,0,0
0.103,0,0
0.104,0,0
0.105,0,0
0.106,0,0
0.107,0,0
0.108,0,0
0.109,0,0
0.11,0,0
0.111,0,0
0.112,0,0
0.113,0,0
0.114,0,0
0.115,0,0
0.116,0,0
0.117,0,0
0.118,0,0
0.119,0,0
0.12,0,0
0.121,0,0
0.122,0,0
0.123,0,0
0.124,0,0
0.125,0,0
0.126,0,0
0.127,0,0
0.128,0,0
0.129,0,0
0.13,0,0
0.131,0,0
0.132,0,0
0.133,0,0
0.134,0,0
0.135,0,0
0.136,0,0
0.137,0,0
0.138,0,0
0.139,0,0
0.14,0,0
0.141,0,0
0.142,0,0
0.143,0,0
0.144,0,0
0.145,0,0
0.146,0,0
0.147,0,0
0.148,0,0
0.149,0,0
0.15,0,0
0.151,0,0
0.152,0,0
0.153,0,0
0.154,0,0
0.155,0,0
0.156,0,0
0.157,0,0
0.158,0,0
0.159,0,0
0.16,0,0
0.161,0,0
0.162,0,0
0.163,0,0
0.164,0,0
0.165,0,0
0.166,0,0
0.167,0,0
0.168,0,0
0.169,0,0
0.1698,0,0
0.1699,0,0
0.17,0,0
0.1701,0,0
0.1702,0,0
0.1703,0,0
0.1704,0,0
0.1705,0,0
0.1706,0,0
0.1707,0,0
0.1708,0,0
0.1709,0,0
0.171,0,0
0.1711,0,0
0.1712,0,0
0.1713,0,0
0.1714,0,0
0.1715,0,0
0.1716,0,0
0.1717,0,0
0.1718,0,0
0.1719,0,0
0.172,0,0
0.1721,0,0
0.1722,0,0
0.1723,0,0
0.1724,0,0
0.1725,0,0
0.1726,0,0
0.1727,0,0
0.1728,0,0
0.1729,0,0
0.173,0,0
0.1731,0,0
0.1732,0,0
0.1733,0,0
0.1734,0,0
0.1735,0,0
0.1736,0,0
0.1737,0,0
0.1738,0,0
0.1739,0,0
0.174,0,0
0.1741,0,0
0.1742,0,0
0.1743,0,0
0.1744,0,0
0.1745,0,0
0.1746,0,0
0.1747,0,0
0.1748,0,0
0.1749,0,0
0.175,0,0
0.1751,0,0
0.1752,0,0
0.1753,0,0
0.1754,0,0
0.1755,0,0
0.1756,0,0
0.1757,0,0
0.1758,0,0
0.1759,0,0
0.176,0,0
0.1761,0,0
0.1762,0,0
0.1763,0,0
0.1764,0,0
0.1765,0,0
0.1766,0,0
0.1767,0,0
0.1768,0,0
0.1769,0,0
0.177,0,0
0.1771,0,0
0.1772,0,0
0.1773,0,0
0.1774,0,0
0.1775,0,0
0.1776,0,0
0.1777,0,0
0.1778,0,0
0.1779,0,0
0.178,0,0
0.1781,0,0
0.1782,0,0
0.1783,0,0
0.1784,0,0
0.1785,0,0
0.1786,0,0
0.1787,0,0
0.1788,0,0
0.1789,0,0
0.179,0,0
0.1791,0,0
0.1792,0,0
0.1793,0,0
0.1794,0,0
0.1795,0,0
0.1796,0,0
0.1797,0,0
0.1798,0,0
0.1799,0,0
0.18,0,0
0.1801,0,0
0.1802,0,0
0.1803,0,0
0.1804,0,0
0.1805,0,0
0.1806,0,0
0.1807,0,0
0.1808,0,0
0.1809,0,0
0.181,0,0
0.1811,0,0
0.1812,0,0
0.1813,0,0
0.1814,0,0
0.1815,0,0
0.1816,0,0
0.1817,0,0
0.1818,0,0
0.1819,0,0
0.182,0,0
0.1821,0,0
0.1822,0,0
0.1823,0,0
0.1824,0,0
0.1825,0,0
0.1826,0,0
0.1827,0,0
0.1828,0,0
0.1829,0,0
0.183,0,0
0.1831,0,0
0.1832,0,0
0.1833,0,0
0.1834,0,0
0.1835,0,0
0.1836,0,0
0.1837,0,0
0.1838,0,0
0.1839,0,0
0.184,0,0
0.1841,0,0
0.1842,0,0
0.1843,0,0
0.1844,0,0
0.1845,0,0
0.1846,0,0
0.1847,0,0
0.1848,0,0
0.1849,0,0
0.185,0,0
0.1851,0,0
0.1852,0,0
0.1853,0,0
0.1854,0,0
0.1855,0,0
0.1856,0,0
0.1857,0,0
0.1858,0,0
0.1859,0,0
0.186,0,0
0.1861,0,0
