"WAVELENGTH(microns)","THROUGHPUT","THROUGHPUTx5"
0.19893538818359,0,0
0.199,7.845291940168E-009,3.922645970084E-008
0.19906463623047,7.6189573300468E-009,3.8094786650234E-008
0.2,2.2748348160611E-009,1.1374174080306E-008
0.20006481933594,1.889270087522E-009,9.4463504376101E-009
0.201,6.3760586751048E-010,3.1880293375524E-009
0.20106499023437,5.4960238085237E-010,2.7480119042618E-009
0.202,4.8619699085261E-011,2.430984954263E-010
0.20206517333984,1.3296138655884E-011,6.6480693279418E-011
0.203,1.3425434252476E-011,6.712717126238E-011
0.20306534423828,1.3435262391159E-011,6.7176311955796E-011
0.204,7.9756587187041E-010,3.9878293593521E-009
0.20406552734375,8.53147070645E-010,4.265735353225E-009
0.205,4.1080747942772E-010,2.0540373971386E-009
0.20506569824219,3.7941222715709E-010,1.8970611357855E-009
0.206,3.8287277016632E-011,1.9143638508316E-010
0.20606589355469,1.3915999167418E-011,6.9579995837091E-011
0.207,2.021144415386E-009,1.010572207693E-008
0.20706608886719,2.1648065993161E-009,1.0824032996581E-008
0.208,2.5616198749254E-009,1.2808099374627E-008
0.20806628417969,2.5902356923676E-009,1.2951178461838E-008
0.209,5.006892668488E-009,2.503446334244E-008
0.20906647949219,5.1810042507447E-009,2.5905021253724E-008
0.21,5.9613030718886E-009,2.9806515359443E-008
0.21006667480469,6.0262270505186E-009,3.0131135252593E-008
0.211,3.3000084446587E-009,1.6500042223294E-008
0.21106687011719,3.0978978437114E-009,1.5489489218557E-008
0.212,1.0873649645338E-008,5.4368248226688E-008
0.21206706542969,1.1449692897176E-008,5.7248464485878E-008
0.213,7.5340838938498E-009,3.7670419469249E-008
0.21306726074219,7.2428739894826E-009,3.6214369947413E-008
0.214,7.5222021593382E-009,3.7611010796691E-008
0.21406745605469,7.542617188913E-009,3.7713085944565E-008
0.215,7.6057928387598E-009,3.8028964193799E-008
0.21506765136719,7.6100849275838E-009,3.8050424637919E-008
0.216,5.7230457765247E-009,2.8615228882623E-008
0.21606787109375,5.5807245234925E-009,2.7903622617463E-008
0.217,9.8643656168123E-009,4.9321828084061E-008
0.21706806640625,1.0186543108768E-008,5.0932715543839E-008
0.218,8.1807004749393E-009,4.0903502374697E-008
0.21806828613281,8.0288543474757E-009,4.0144271737378E-008
0.219,7.913770204173E-009,3.9568851020865E-008
0.21906848144531,7.9046259275831E-009,3.9523129637915E-008
0.22,1.5508879215796E-008,7.7544396078981E-008
0.22006870117187,1.6087573340619E-008,8.0437866703093E-008
0.221,1.6004111809252E-008,8.0020559046258E-008
0.22106889648438,1.5997785235671E-008,7.9988926178357E-008
0.222,9.3228774853683E-009,4.6614387426841E-008
