"Lambda(microns)","P(bar)_for_Tau=1","P(bar)_for_Tau=2","P3(bar)_for_tau=5"
0.5001,3.38,6.78,18.8
0.5003,3.38,6.79,18.9
0.5004,3.39,6.8,18.9
0.5005,3.39,6.8,18.9
0.5006,3.39,6.81,18.9
0.5008,3.4,6.82,19
0.5009,3.4,6.83,19
0.501,3.41,6.83,19
0.5011,3.41,6.84,19.1
0.5013,3.41,6.85,19.1
0.5014,3.42,6.86,19.1
0.5015,3.42,6.86,19.1
0.5016,3.42,6.87,19.2
0.5018,3.43,6.88,19.2
0.5019,3.43,6.89,19.2
0.502,3.43,6.9,19.2
0.5021,3.44,6.9,19.3
0.5023,3.44,6.91,19.3
0.5024,3.45,6.92,19.3
0.5025,3.45,6.93,19.3
0.5026,3.45,6.93,19.4
0.5028,3.46,6.94,19.4
0.5029,3.46,6.95,19.4
0.503,3.46,6.96,19.4
0.5031,3.47,6.97,19.5
0.5033,3.47,6.97,19.5
0.5034,3.47,6.98,19.5
0.5035,3.48,6.99,19.5
0.5037,3.48,7,19.5
0.5038,3.49,7,19.6
0.5039,3.49,7.01,19.6
0.504,3.49,7.02,19.6
0.5042,3.5,7.03,19.6
0.5043,3.5,7.04,19.7
0.5044,3.5,7.04,19.7
0.5045,3.51,7.05,19.7
0.5047,3.51,7.06,19.7
0.5048,3.52,7.07,19.8
0.5049,3.52,7.07,19.8
0.5051,3.52,7.08,19.8
0.5052,3.53,7.09,19.8
0.5053,3.53,7.1,19.9
0.5054,3.53,7.11,19.9
0.5056,3.54,7.11,19.9
0.5057,3.54,7.12,19.9
0.5058,3.55,7.13,20
0.5059,3.55,7.14,20
0.5061,3.55,7.15,20
0.5062,3.56,7.15,20
0.5063,3.56,7.16,20
0.5065,3.57,7.17,20.1
0.5066,3.57,7.18,20.1
0.5067,3.57,7.19,20.1
0.5068,3.58,7.19,20.1
0.507,3.58,7.2,20.2
0.5071,3.59,7.21,20.2
0.5072,3.59,7.22,20.2
0.5074,3.59,7.23,20.2
0.5075,3.6,7.23,20.3
0.5076,3.6,7.24,20.3
0.5077,3.6,7.25,20.3
0.5079,3.61,7.26,20.3
0.508,3.61,7.27,20.3
0.5081,3.62,7.27,20.4
0.5083,3.62,7.28,20.4
0.5084,3.62,7.29,20.4
0.5085,3.63,7.3,20.4
0.5086,3.63,7.31,20.5
0.5088,3.64,7.31,20.5
0.5089,3.64,7.32,20.5
0.509,3.65,7.33,20.5
0.5092,3.65,7.34,20.5
0.5093,3.65,7.35,20.6
0.5094,3.66,7.35,20.6
0.5096,3.66,7.36,20.6
0.5097,3.67,7.37,20.6
0.5098,3.67,7.38,20.6
0.5099,3.67,7.39,20.7
0.5101,3.68,7.39,20.7
0.5102,3.68,7.4,20.7
0.5103,3.68,7.41,20.7
0.5105,3.69,7.42,20.7
0.5106,3.69,7.42,20.8
0.5107,3.7,7.43,20.8
0.5109,3.7,7.44,20.8
0.511,3.7,7.45,20.8
0.5111,3.71,7.45,20.8
0.5112,3.71,7.46,20.9
0.5114,3.71,7.47,20.9
0.5115,3.72,7.47,20.9
0.5116,3.72,7.48,20.9
0.5118,3.73,7.49,20.9
0.5119,3.73,7.5,20.9
0.512,3.73,7.5,21
0.5122,3.74,7.51,21
0.5123,3.74,7.52,21
0.5124,3.74,7.53,21
0.5126,3.75,7.53,21
0.5127,3.75,7.54,21.1
0.5128,3.76,7.55,21.1
0.513,3.76,7.55,21.1
0.5131,3.76,7.56,21.1
0.5132,3.77,7.57,21.1
0.5133,3.77,7.58,21.1
0.5135,3.77,7.58,21.2
0.5136,3.78,7.59,21.2
0.5137,3.78,7.6,21.2
0.5139,3.79,7.61,21.2
0.514,3.79,7.61,21.2
0.5141,3.79,7.62,21.2
0.5143,3.8,7.63,21.3
0.5144,3.8,7.64,21.3
0.5145,3.8,7.64,21.3
0.5147,3.81,7.65,21.3
0.5148,3.81,7.66,21.3
0.5149,3.82,7.67,21.4
0.5151,3.82,7.67,21.4
0.5152,3.82,7.68,21.4
0.5153,3.83,7.69,21.4
0.5155,3.83,7.7,21.4
0.5156,3.84,7.7,21.4
0.5157,3.84,7.71,21.5
0.5159,3.84,7.72,21.5
0.516,3.85,7.73,21.5
0.5161,3.85,7.73,21.5
0.5163,3.86,7.74,21.5
0.5164,3.86,7.75,21.5
0.5165,3.86,7.76,21.6
0.5167,3.87,7.76,21.6
0.5168,3.87,7.77,21.6
0.5169,3.88,7.78,21.6
0.5171,3.88,7.79,21.6
0.5172,3.88,7.79,21.6
0.5173,3.89,7.8,21.7
0.5175,3.89,7.81,21.7
0.5176,3.9,7.82,21.7
0.5177,3.9,7.83,21.7
0.5179,3.9,7.83,21.7
0.518,3.91,7.84,21.7
0.5181,3.91,7.85,21.8
0.5183,3.91,7.84,21.7
0.5184,3.92,7.86,21.8
0.5185,3.92,7.86,21.8
0.5187,3.92,7.86,21.8
0.5188,3.92,7.86,21.7
0.5189,3.93,7.86,21.7
0.5191,3.93,7.88,21.8
0.5192,3.94,7.89,21.8
0.5193,3.94,7.89,21.8
0.5195,3.94,7.89,21.8
0.5196,3.94,7.9,21.8
0.5198,3.95,7.91,21.8
0.5199,3.95,7.92,21.9
0.52,3.96,7.93,21.9
0.5202,3.96,7.93,21.9
0.5203,3.96,7.93,21.9
0.5204,3.97,7.94,21.9
0.5206,3.97,7.95,21.9
0.5207,3.98,7.95,21.9
0.5208,3.98,7.96,21.9
0.521,3.98,7.97,22
0.5211,3.99,7.98,22
0.5212,3.99,7.98,22
0.5214,3.99,7.99,22
0.5215,4,8,22
0.5216,4,8,22
0.5218,4.01,8.01,22
0.5219,4.01,8.01,22
0.5221,4.01,8.02,22
0.5222,4.02,8.02,22
0.5223,4.02,8.03,22
0.5225,4.02,8.03,22
0.5226,4.03,8.04,22
0.5227,4.03,8.05,22.1
0.5229,4.04,8.06,22.1
0.523,4.04,8.06,22.1
0.5231,4.05,8.07,22.1
0.5233,4.05,8.08,22.1
0.5234,4.05,8.08,22.1
0.5236,4.06,8.09,22.1
0.5237,4.06,8.09,22.1
0.5238,4.07,8.1,22.1
0.524,4.07,8.11,22.1
0.5241,4.08,8.1,22.1
0.5242,4.08,8.11,22.1
0.5244,4.09,8.13,22.1
0.5245,4.09,8.14,22.1
0.5247,4.1,8.15,22.2
0.5248,4.1,8.16,22.2
0.5249,4.11,8.18,22.2
0.5251,4.11,8.18,22.2
0.5252,4.11,8.19,22.2
0.5253,4.12,8.21,22.2
0.5255,4.13,8.22,22.2
0.5256,4.13,8.24,22.2
0.5258,4.13,8.25,22.3
0.5259,4.14,8.26,22.3
0.526,4.14,8.27,22.3
0.5262,4.15,8.28,22.3
0.5263,4.15,8.29,22.3
0.5265,4.16,8.3,22.3
0.5266,4.16,8.31,22.3
0.5267,4.17,8.3,22.3
0.5269,4.17,8.31,22.3
0.527,4.18,8.33,22.3
0.5271,4.18,8.33,22.3
0.5273,4.19,8.34,22.4
0.5274,4.19,8.36,22.4
0.5276,4.2,8.38,22.4
0.5277,4.2,8.38,22.4
0.5278,4.21,8.39,22.4
0.528,4.21,8.41,22.5
0.5281,4.22,8.42,22.5
0.5283,4.22,8.43,22.5
0.5284,4.23,8.44,22.5
