"Latitude_Pg","Wind_m/s","Error_m/s","Number"
-58.9,-1.3,6.9,3
-58.1,0.5,7.2,2
-57.4,-3.9,,1
-54.8,-4.7,2.6,2
-54,6,6.4,21
-54,12.7,7.8,32
-52,10,6.3,22
-50.9,7.3,5.6,8
-50.1,5.1,6.8,19
-48.9,4.7,7.1,19
-48,-1.9,5.5,7
-47,11.6,8.8,7
-44.8,18.8,14.4,4
-43.2,15.6,0,1
-41,13.5,0,1
-39.9,4.8,6.6,10
-39,7.1,6.5,45
-38.4,11.8,6.3,2
-36.8,14.2,0,1
-35.9,23,0,1
-35.2,10.1,1.5,2
-33,0,0,1
-32,-2.8,5.9,19
-31.1,3.3,5.3,90
-27.5,28,0,1
-26.8,19.8,2.9,3
-26.3,18.9,3.2,2
-23.8,9.1,5.9,3
-22.9,-15.5,18.8,11
-22.2,-21.5,16.4,27
-21.2,-32.9,11.8,6
-20,-38.7,10,23
-19.3,-40.7,8.4,11
-18,-16.9,10.8,15
-17.1,-13,9,17
-16.5,-10,0,1
-13.8,20.3,0,1
-12.9,22.9,2.6,2
-12.2,10.2,3.4,2
-11.1,47.5,15.9,7
-10,63.7,16.7,11
-9.2,73.3,11.8,23
-7.9,61.9,3.7,4
-7,95.9,17.4,10
-6,86.8,14.8,18
-5,89.3,16.2,17
-4.2,77.4,12.4,22
-1,88.4,7.9,3
-0.05,83.2,0,1
1.1,81.7,11.2,6
4.2,79.5,0,1
6.1,76.3,7.7,4
6.9,79.6,6,9
7.9,82.5,3.4,2
9.3,71.9,6.8,2
10.2,49.7,9.8,13
11,47.1,13.8,20
12,30.2,10,29
13,27,11.4,24
13.9,16.3,6.6,9
15,5,11.8,15
15.9,3.6,8.2,17
17.1,6.2,8.2,4
18.3,3,7.2,5
19.1,9.2,10,32
19.7,27,12.2,11
20.9,57.1,19,2
22.2,72.3,19.7,3
23.3,108.6,6.7,64
23.7,111.5,8.4,30
25.2,95.1,0,1
26.2,60.8,17.1,8
27,32.4,5.4,3
28.3,32.5,0,1
29.4,-0.9,12.9,9
30,-9.9,6.6,85
30.9,-9.2,13.1,10
32,-2.3,18,4
33,3.5,12.2,35
34,8.1,11.6,18
35.1,10.7,11.5,8
36,-1.7,7.4,43
37.2,0.9,3.9,8
38,-3,7.3,34
39.1,-4.7,6.8,65
40.1,-4.7,5.8,88
40.9,-0.2,6.5,60
42.1,1.1,6.9,37
43,3.6,7.4,13
44,1.7,5.5,30
45,2.6,4.8,27
46.1,1.1,5.8,13
46.8,2.5,3.2,6
47.9,4.2,5.7,10
49.1,-1,4.3,14
50,-2.1,4,22
50.7,-3.1,3.3,11
52.1,-8.9,0,1
53.6,0,0,1
54.8,9.4,0,1
