"<Lat G>","U(m/s)"
0.55,137.94264946807
1,127.58650123623
0.75,124.1445946783
1.6,124.11547671275
-2.55,113.71983049747
-3.1,113.67829222638
-6.4,113.25884684218
-0.2,110.35752066776
-0.3,110.35687284417
-5.45,109.97289376927
-6.75,109.76699046376
-2.1,106.85399135927
-6.6,106.36196644064
-0.4,103.45871802019
-5.45,103.09958790869
-6.3,102.97804760923
-6.8,102.89830398092
-0.3,100.01091601502
-5.65,99.636825192909
-5.9,99.602860204145
-6,99.588860990564
-6.2,99.560153945229
-6.4,99.530501770403
-6.55,99.507642172027
-6.9,99.452233892865
-5.75,96.188126047624
-6.95,96.014975580264
-0.8,93.107598752486
-2.25,93.059244633648
-5.15,92.82444525835
-6.9,92.593459141633
-5.55,89.34137759242
-5.85,85.870492459704
-8.15,85.543679834712
-3.45,82.652831783518
10,81.794202112523
-8.9,78.580639921729
-10.4,78.309700299018
9.3,75.098957019678
11.5,74.688978844527
11.6,74.668256930097
4.65,72.238507593807
9.2,71.701169708842
9.5,71.653247558657
9.95,71.578453151764
11.8,71.234164213415
12.5,71.088403410834
-0.8,68.968591668508
-2.95,68.903287023268
8.9,68.330991236286
9.2,68.286828294135
10.4,64.690621986147
5.65,61.843546671462
5.7,61.839403594577
5.95,61.818138694197
7.75,61.637957728721
10.2,61.316048316266
10.9,61.207767377884
12.55,60.9237133117
4.85,58.46569812214
13,57.459241753574
-4.35,55.056373143852
5.05,55.01369567241
-9.65,54.574250985521
-10.8,54.421049933803
11.8,54.273648924507
12.45,54.170741133374
12.7,54.12966894099
5.5,51.5464634628
7.6,51.378992644636
7.8,51.360227506435
-9.75,51.151519021198
11.95,50.859748073455
12.4,50.792677513231
12.45,50.785069812538
12.75,50.738770220199
-4.55,48.164225949418
5.8,48.090783648196
5.85,48.087475777433
12.8,47.348881691358
-4.65,44.7190761295
12.85,43.960009577167
-4.1,41.302553626036
5.25,41.250248665858
5.8,41.220671698453
5.85,41.217836380658
6.4,41.185035215339
6.55,41.175576071184
7.05,41.142455285492
7.75,37.667640834217
11.95,36.958083600043
-4.25,34.413718712699
12.7,33.831043088119
12.95,33.804854082956
13.2,33.778145702114
5.75,30.917611943879
5.75,30.917611943878
7.6,30.827395586781
-12.25,30.489188428721
13,30.419598575423
13.4,30.380764240739
-12.45,27.085370566687
13.65,26.98300815365
-13.5,13.498163746446
-14.65,-3.3612968927646
-16.25,-6.6820569393245
-15.65,-13.395524279603
-16.05,-16.718398321775
