"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-60.32897,-63.51764,165.34796,15.40519,1.63791,0.71421
-60.27508,-63.46763,181.4752,9.74616,-1.638,0.51445
-60.05963,-63.26757,165.42297,13.08312,1.63834,0.78347
-60.05963,-63.26757,155.77164,1.63539,1.63834,0.56226
-59.84435,-63.06752,155.79665,0.8232,-1.63869,0.55139
-59.79056,-63.0175,165.54799,9.07028,1.63878,0.85328
-59.5755,-62.81745,155.97166,-4.98034,-1.63912,0.50087
-59.52176,-62.76744,165.673,4.98856,1.63921,0.86932
-59.30692,-62.56738,165.77303,1.67379,-1.63956,0.845
-57.86143,-61.217,167.29823,27.07752,1.64195,0.71678
-57.67465,-61.04196,167.32324,26.34493,0,0.72375
-57.64798,-61.01695,165.14793,23.72853,1.64231,0.51074
-57.64798,-61.01695,145.22017,21.09202,1.64231,0.68839
-57.48801,-60.86691,167.37325,24.71979,-1.64258,0.69647
-57.38142,-60.76688,165.14793,23.90911,1.64276,0.67829
-57.38142,-60.76688,145.57022,8.85522,1.64276,0.69669
-57.29862,-60.68914,162.79681,10.65735,-2.19181,0.6573
-57.27488,-60.66685,167.47327,21.3166,-1.64295,0.62945
-57.1566,-60.55576,160.72977,8.32225,-2.19213,0.75292
-57.11515,-60.51681,165.17294,23.19692,1.64322,0.76151
-57.08563,-60.48907,160.69643,9.53009,-2.1923,0.74951
-57.05015,-60.45572,162.73013,13.11689,0,0.6415
-57.03532,-60.44179,167.64828,15.20114,0,0.55441
-57.01467,-60.42238,155.06206,5.96814,-2.19246,0.85924
-56.9792,-60.38903,160.72977,8.36367,0,0.74613
-56.90827,-60.32234,155.09538,4.78869,0,0.85852
-56.87282,-60.289,160.79643,5.99177,2.19278,0.74551
-56.84916,-60.26674,165.24796,20.67318,1.64367,0.80062
-56.84916,-60.26674,156.07169,-8.98834,1.64367,0.88251
-56.84916,-60.26674,145.89526,-2.6965,1.64367,0.80333
-56.80192,-60.2223,155.22874,0,2.19294,0.85994
-56.80192,-60.2223,160.82977,4.80286,2.19294,0.74894
-56.80192,-60.2223,162.86349,8.405,2.19294,0.64016
-56.79599,-60.21673,167.87332,7.20128,1.64376,0.5374
-56.73105,-60.15561,155.29543,-2.40614,2.19311,0.86329
-56.73105,-60.15561,160.89645,2.40614,2.19311,0.75563
-56.66019,-60.08892,155.36211,-4.82171,2.19327,0.86798
-56.66019,-60.08892,160.96313,0,2.19327,0.76519
-56.58936,-60.02223,155.42879,-7.24669,2.19343,0.87317
-56.58936,-60.02223,161.02982,-2.41556,2.19343,0.77606
-56.58936,-60.02223,163.09686,0,2.19343,0.66821
-56.58345,-60.01667,165.52299,10.86549,1.64413,0.84092
-56.58345,-60.01667,145.92027,-3.62183,1.64413,0.79185
-56.58345,-60.01667,168.09834,-0.90546,1.64413,0.59198
-56.51854,-59.95554,155.46211,-8.47093,2.19359,0.87785
-56.51854,-59.95554,161.06316,-3.6304,2.19359,0.78664
-56.51854,-59.95554,175.63252,4.84053,-2.19359,0.52412
-56.48314,-59.92219,155.42879,-7.26785,0,0.88201
-56.44775,-59.88885,161.0965,-4.84993,2.19376,0.79619
-56.44775,-59.88885,175.66586,3.63745,-2.19376,0.56782
-56.41236,-59.8555,155.42879,-7.28194,0,0.88577
-56.41236,-59.8555,161.06316,-3.64097,0,0.80537
-56.37698,-59.82216,163.23022,-4.85932,2.19392,0.71301
-56.37698,-59.82216,175.6992,2.42966,-2.19392,0.60099
-56.3711,-59.81662,168.27338,-7.28592,1.64449,0.67113
-56.3416,-59.78881,155.46211,-8.51203,0,0.88898
-56.3416,-59.78881,161.06316,-3.64801,0,0.81403
