"Pg","Cassini","HST","Visible=Average_Cassini_HST","F164N","F212N","F335M","D164N=F164N-Visible","D212N=F212N-Visible","D335M=F335M-Visible","DUV=UV-Visible"
-60,6.438,5.06,5.749,6.503,-0.498,0.327,0.754,-6.247,-5.422,-11.661
-59.9,4.501,4.155,4.328,5.258,-0.84,-1.483,0.929,-5.168,-5.811,-9.842
-59.8,3.801,3.328,3.564,4.046,-1.181,-3.089,0.482,-4.746,-6.654,-8.675
-59.7,3.76,2.465,3.113,2.857,-1.581,-4.503,-0.256,-4.693,-7.616,-7.817
-59.6,3.227,1.635,2.431,1.783,-1.983,-5.703,-0.648,-4.415,-8.135,-6.725
-59.5,2.983,0.898,1.94,0.875,-2.439,-6.713,-1.065,-4.379,-8.654,-5.819
-59.4,2.306,0.513,1.41,0.126,-2.94,-7.545,-1.284,-4.35,-8.954,-4.869
-59.3,1.682,0.215,0.949,-0.518,-3.345,-8.323,-1.467,-4.294,-9.271,-3.985
-59.2,1.401,0.007,0.704,-1.153,-3.538,-9.301,-1.857,-4.242,-10.005,-3.313
-59.1,0.962,-0.178,0.392,-1.735,-3.555,-10.356,-2.127,-3.947,-10.748,-2.569
-59,0.416,-0.23,0.093,-2.25,-3.495,-11.23,-2.343,-3.588,-11.323,-1.834
-58.9,-0.396,-0.44,-0.418,-2.692,-3.408,-11.727,-2.274,-2.991,-11.309,-0.882
-58.8,-0.768,-0.67,-0.719,-3.091,-3.317,-12.008,-2.372,-2.598,-11.289,-0.14
-58.7,-0.995,-1.084,-1.039,-3.508,-3.289,-12.255,-2.469,-2.25,-11.216,0.604
-58.6,-1.781,-1.275,-1.528,-4.014,-3.34,-12.622,-2.486,-1.812,-11.094,1.476
-58.5,-2.025,-1.672,-1.848,-4.519,-3.49,-12.897,-2.671,-1.641,-11.049,2.119
-58.4,-2.968,-1.862,-2.415,-4.966,-3.78,-12.96,-2.551,-1.365,-10.545,2.924
-58.3,-3.067,-2.123,-2.595,-5.343,-4.207,-12.754,-2.747,-1.612,-10.159,3.236
-58.2,-3.304,-2.412,-2.858,-5.646,-4.65,-12.463,-2.787,-1.792,-9.605,3.504
-58.1,-3.662,-2.506,-3.084,-5.887,-4.975,-12.288,-2.802,-1.89,-9.204,3.584
-58,-4,-2.329,-3.164,-6.072,-5.177,-12.274,-2.908,-2.012,-9.109,3.3
-57.9,-4.331,-2.016,-3.174,-6.169,-5.32,-12.305,-2.995,-2.146,-9.131,2.795
-57.8,-4.542,-2.116,-3.329,-6.154,-5.472,-12.309,-2.825,-2.143,-8.98,2.322
-57.7,-4.431,-2.286,-3.358,-6.045,-5.633,-12.271,-2.686,-2.275,-8.912,1.648
-57.6,-4.591,-2.557,-3.574,-5.931,-5.72,-12.233,-2.357,-2.146,-8.659,1.122
-57.5,-4.919,-2.79,-3.854,-5.916,-5.67,-12.229,-2.062,-1.816,-8.375,0.66
-57.4,-4.892,-3.041,-3.967,-5.973,-5.49,-12.254,-2.006,-1.523,-8.288,0.067
-57.3,-5.237,-3.31,-4.273,-6.061,-5.285,-12.247,-1.788,-1.012,-7.973,-0.232
-57.2,-5.24,-3.433,-4.337,-6.128,-5.142,-12.147,-1.791,-0.805,-7.81,-0.762
-57.1,-5.498,-3.71,-4.604,-6.209,-5.051,-11.976,-1.605,-0.447,-7.373,-1.071
-57,-5.792,-3.916,-4.854,-6.34,-5.03,-11.788,-1.486,-0.176,-6.934,-1.377
-56.9,-5.658,-4.223,-4.941,-6.562,-5.093,-11.65,-1.621,-0.152,-6.709,-1.821
-56.8,-5.86,-4.522,-5.191,-6.82,-5.219,-11.511,-1.629,-0.028,-6.32,-2.073
-56.7,-5.766,-4.619,-5.193,-7.051,-5.374,-11.33,-1.858,-0.181,-6.137,-2.54
-56.6,-5.695,-4.571,-5.133,-7.231,-5.556,-11.096,-2.098,-0.423,-5.963,-3.031
-56.5,-5.761,-4.64,-5.2,-7.362,-5.707,-10.814,-2.162,-0.506,-5.614,-3.353
-56.4,-5.908,-4.73,-5.319,-7.449,-5.749,-10.497,-2.13,-0.431,-5.178,-3.578
-56.3,-5.806,-4.715,-5.26,-7.505,-5.67,-10.159,-2.245,-0.41,-4.898,-3.93
-56.2,-5.779,-4.617,-5.198,-7.472,-5.506,-9.766,-2.274,-0.309,-4.569,-4.231
-56.1,-5.723,-4.841,-5.282,-7.333,-5.296,-9.333,-2.051,-0.014,-4.05,-4.327
