"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-75.11,-76.91,4.05,1.84,0.02,2
-75.08,-76.88,4.04,1.84,0.02,3
-74.36,-76.25,5.37,2.82,0.03,3
-74.31,-76.2,4.72,1.88,0.03,2
-73.92,-75.85,2.06,3.7,0.04,3
-73.71,-75.67,1.28,3.7,0.02,2
-73.61,-75.57,0.72,1.38,0.03,3
-73.5,-75.48,0.72,2.1,0.03,3
-73.41,-75.4,0.96,2.69,0.04,4
-73.3,-75.3,0.66,2.17,0.03,9
-73.21,-75.22,-0.61,1.81,0.04,4
-73.02,-75.05,0.08,2.01,0.02,3
-72.82,-74.87,1.17,1.39,0.02,2
-72.71,-74.78,1.34,1.24,0.03,2
-72.6,-74.67,0.72,1.74,0.03,6
-72.5,-74.59,0.73,1.47,0.02,9
-72.4,-74.5,0.93,1.15,0.01,3
-72.18,-74.3,0.26,3.7,0.01,2
-72.08,-74.21,-0.75,3.7,0.02,2
-72.03,-74.16,-0.08,3.7,0.02,3
-71.75,-73.91,-0.73,1.57,0.03,2
-71.7,-73.87,-0.5,2.2,0.03,3
-71.6,-73.78,-0.92,2.72,0.02,3
-71.51,-73.7,-1.71,2.24,0.03,4
-71.42,-73.62,-2.22,1.75,0.02,2
-71.31,-73.52,-2.33,1.32,0.02,8
-71.22,-73.44,-1.82,1.35,0.02,2
-71.11,-73.35,-1.67,1.45,0.02,5
-71.01,-73.25,-1.02,2.2,0.03,7
-70.9,-73.15,-1.08,2.74,0.03,4
-70.8,-73.06,-0.98,2.55,0.03,7
-70.7,-72.97,-0.81,2.79,0.03,4
-70.6,-72.89,-0.95,2.74,0.03,3
-70.51,-72.8,-0.91,3.65,0.03,3
-70.4,-72.71,-1.01,3.03,0.03,4
-70.3,-72.61,-0.28,2.41,0.03,2
-70.19,-72.51,0.54,1.64,0.03,3
-70.1,-72.44,0.97,1.86,0.03,5
-70.01,-72.36,1.24,1.86,0.03,7
-69.9,-72.26,0.26,1.73,0.02,4
-69.84,-72.2,0.23,1.62,0.02,2
-69.49,-71.89,-2.52,2.2,0.03,7
-69.4,-71.81,-2.4,3.2,0.04,4
-69.3,-71.72,-2.57,2.87,0.03,6
-69.2,-71.63,-2.75,2.47,0.03,5
-69.1,-71.54,-2.8,2.66,0.02,4
-68.99,-71.44,-3.96,2.03,0.02,4
-68.91,-71.36,-3.02,2.11,0.02,2
-68.73,-71.2,-1.72,2.39,0.01,7
-68.62,-71.1,-2.57,3.02,0.02,5
-68.51,-71,-3.57,2.43,0.02,8
-68.41,-70.91,-3.06,3.57,0.03,5
-68.31,-70.82,-2.34,3.34,0.02,9
-68.21,-70.74,-2.55,2.78,0.02,2
-68.02,-70.56,-2.82,1.96,0.01,6
-67.91,-70.46,-2.31,2.34,0.01,4
-67.8,-70.36,-1.54,2.15,0.01,4
-67.69,-70.27,-1.59,2.43,0.01,4
-67.6,-70.18,-1.42,3.59,0.02,7
-67.5,-70.09,-2.02,3.27,0.02,6
-67.41,-70,-1.77,2.55,0.03,5
-67.31,-69.92,-2.68,3.7,0.02,4
-67.12,-69.74,-2.47,1.07,0.03,9
-67.02,-69.65,-1.14,1.73,0.03,8
-66.92,-69.56,-0.92,2.23,0.02,7
-66.81,-69.47,-1.43,1.82,0.01,4
-66.71,-69.37,-1.03,2.37,0.01,5
-66.6,-69.28,-0.07,3.07,"NaN",8
-66.5,-69.18,1.96,3.71,0.04,12
-66.4,-69.09,3.69,3.19,0.03,7
-66.3,-69,4.51,2.13,0.03,7
-66.2,-68.91,4.55,1.83,0.03,6
-66.1,-68.82,4.7,1.7,"NaN",8
-66,-68.73,5.22,1.99,0.04,7
-65.9,-68.64,5.79,2.69,0.04,10
-65.8,-68.55,7.51,3.24,0.03,8
-65.7,-68.46,8.62,4.7,0.03,6
-65.6,-68.36,8.65,5.72,0.03,9
-65.51,-68.28,6.15,5.1,0.03,9
-65.41,-68.19,6.39,4.39,0.03,4
-65.31,-68.1,9.16,2.29,0.02,5
-65.21,-68.01,13.25,3.9,0.03,3
-65.1,-67.91,14.33,4.59,0.02,6
-65,-67.82,15.96,4.81,0.03,5
-64.9,-67.73,17.52,3.03,0.01,9
-64.8,-67.64,20.22,3.7,0.02,8
-64.7,-67.54,21.25,1.29,0.02,5
-64.6,-67.45,21.75,2.82,0.03,7
-64.51,-67.37,23.17,4.73,0.03,13
-64.41,-67.28,24.13,5.21,0.03,8
-64.31,-67.19,25.33,3.99,0.03,5
-64.21,-67.09,26.22,2.56,0.03,3
-64.1,-67,29.57,3.24,0.02,5
-64,-66.9,33.96,4.33,0.02,8
-63.9,-66.81,38.81,5.38,0.02,9
-63.8,-66.72,41.43,5.3,0.03,8
-63.7,-66.63,42.82,5.32,0.03,10
-63.6,-66.54,41.1,5.59,0.03,11
-63.5,-66.45,41.22,5.35,0.03,11
-63.4,-66.35,40.15,6.92,0.03,7
-63.31,-66.27,41.19,8.31,0.03,8
-63.21,-66.18,39.5,9.73,0.03,10
-63.12,-66.09,38.84,9.16,0.03,11
-63.01,-66,37.1,8.36,0.04,14
-62.91,-65.9,36.15,6.85,0.04,10
-62.81,-65.81,35.29,4.71,0.03,11
-62.7,-65.71,33.87,2.9,0.03,8
-62.6,-65.62,30.04,3.73,0.03,8
-62.5,-65.53,26.12,5.51,0.03,12
-62.41,-65.44,22.65,6.15,0.02,7
-62.31,-65.35,20.73,5.24,0.02,9
-62.21,-65.26,18.52,4.36,0.03,10
-62.11,-65.16,15.64,4.23,0.02,13
-62,-65.07,13.86,4.38,0.03,15
-61.9,-64.97,12.57,4.59,0.03,14
-61.8,-64.88,12.43,4.92,0.04,15
-61.7,-64.79,11.6,4.57,0.04,16
-61.6,-64.7,10.81,4.04,0.04,15
-61.51,-64.61,10.28,3.52,0.03,16
-61.41,-64.52,10.38,3.33,0.03,17
-61.31,-64.42,10.49,3.17,0.02,15
-61.21,-64.33,10.27,3.25,0.02,18
-61.1,-64.24,9.76,3.16,0.02,16
-61.01,-64.14,9.28,3.16,0.03,19
-60.9,-64.05,8.59,2.88,0.03,16
-60.81,-63.96,7.91,2.54,0.04,16
-60.71,-63.87,7.26,2.32,0.02,15
-60.61,-63.77,7.06,2.12,0.03,15
