"Lat(Pc)","Lat(Pg)","U(m/s)","Sigma_U","Sigma_Lt","Npt"
-68.89,-71.35,2.53,0.12,0.09,3
-68.71,-71.18,1.66,0.06,0.09,3
-68.56,-71.05,1.19,0,0.09,1
-68.14,-70.67,0.82,0.2,0.06,0
-67.84,-70.4,1.65,0.41,0.06,2
-67.48,-70.07,4.22,0.41,0.06,0
-67.07,-69.7,6.39,"NaN",0.01,1
-66.9,-69.55,6.34,1.46,0.05,1
-66.62,-69.29,5.31,3.25,0.06,3
-66.27,-68.97,5.55,4.38,0.07,2
-65.99,-68.72,3.17,4.95,0.06,3
-65.71,-68.46,7.14,4.65,0.06,2
-65.42,-68.2,10.09,5.92,0.08,3
-65.1,-67.91,15.7,8.3,0.1,4
-64.78,-67.61,18.83,8.54,0.1,6
-64.49,-67.35,25.09,6.78,0.09,4
-64.2,-67.08,27.73,4.49,0.08,2
-63.91,-66.82,31.96,3.82,0.07,4
-63.61,-66.55,33.42,3.89,0.08,5
-63.31,-66.27,37.8,5.25,0.09,7
-63.01,-65.99,36.63,5.92,0.09,7
-62.71,-65.71,33.87,7.34,0.09,11
-62.41,-65.44,25.98,6.78,0.09,15
-62.09,-65.15,17.44,7.72,0.08,11
-61.79,-64.87,7.14,5.26,0.08,12
-61.48,-64.59,3.62,4.83,0.08,15
-61.19,-64.32,1.84,3.97,0.09,20
-60.89,-64.04,3.65,4.91,0.08,31
-60.6,-63.77,4.11,5.05,0.08,43
-60.3,-63.49,4.42,4.64,0.09,28
-60,-63.21,4.05,4.04,0.09,48
-59.69,-62.93,4.36,3.18,0.09,50
-59.4,-62.65,5.43,3.68,0.08,57
-59.1,-62.38,7.01,4.66,0.08,64
-58.8,-62.09,8.98,6.08,0.09,75
-58.5,-61.81,11.98,5.93,0.09,89
-58.2,-61.54,15.83,5.47,0.09,80
-57.91,-61.26,18.69,4.54,0.09,61
-57.61,-60.98,18.67,4.04,0.08,78
-57.31,-60.7,16,4.01,0.08,79
-57.01,-60.41,12.22,4.45,0.08,94
-56.7,-60.13,8.22,5.23,0.08,84
-56.4,-59.84,4.54,5.18,0.08,90
-56.1,-59.56,1.4,4.7,0.08,87
-55.8,-59.28,-0.64,4.33,0.08,91
-55.5,-59,-2.25,4.22,0.08,90
-55.2,-58.71,-3.46,4.26,0.09,93
-54.9,-58.43,-4.84,3.67,0.09,82
-54.6,-58.14,-5.79,3.13,0.09,81
-54.3,-57.86,-6.18,2.86,0.09,69
-54,-57.57,-5.91,3.17,0.09,82
-53.7,-57.28,-6.08,3.29,0.09,90
-53.4,-57,-6.34,3.64,0.08,85
-53.1,-56.72,-7.01,3.55,0.08,72
-52.81,-56.43,-7.42,3.31,0.08,81
-52.51,-56.15,-7.41,3.17,0.09,72
-52.2,-55.86,-6.54,2.99,0.09,51
-51.9,-55.56,-4.78,3.45,0.09,48
-51.6,-55.27,-3.39,3.72,0.08,68
-51.3,-54.99,-2.57,4.37,0.09,60
-51,-54.7,-1.09,4.68,0.09,62
-50.7,-54.41,1.98,5.24,0.09,79
-50.4,-54.11,7.51,5.97,0.09,94
-50.1,-53.83,14.89,7.6,0.09,70
-49.79,-53.53,22.27,7.88,0.09,60
-49.49,-53.24,28.65,7.1,0.09,63
-49.19,-52.94,32.21,6.61,0.09,97
-48.9,-52.66,35.19,6.87,0.1,80
-48.6,-52.37,36.81,7.61,0.1,100
-48.3,-52.07,37.55,7.25,0.09,110
-48,-51.78,34.44,7.9,0.08,120
-47.7,-51.49,27.75,8.03,0.08,99
-47.4,-51.2,20.35,8.17,0.08,119
-47.1,-50.91,13.17,7.3,0.08,126
-46.8,-50.61,8.16,6.73,0.08,108
-46.5,-50.31,3.65,6.59,0.08,125
-46.19,-50.01,0.6,6.42,0.08,128
-45.9,-49.72,-2.39,6.56,0.08,124
-45.6,-49.43,-5.76,5.67,0.08,123
-45.31,-49.14,-8.48,5.11,0.08,84
-45.01,-48.84,-10.87,4.77,0.08,114
-44.71,-48.55,-12.44,4.93,0.09,98
-44.4,-48.24,-14.31,5.13,0.09,90
-44.11,-47.95,-14.44,4.71,0.09,72
-43.81,-47.65,-14.57,4.45,0.09,69
-43.51,-47.35,-11.72,4.29,0.08,62
-43.19,-47.03,-9.61,5.15,0.08,50
-42.89,-46.73,-5.94,5.92,0.08,66
-42.59,-46.43,-4.23,5.77,0.08,70
-42.3,-46.14,-0.52,6.35,0.09,61
-42,-45.83,4.28,6.97,0.09,52
-41.7,-45.53,10.37,8.4,0.09,81
-41.4,-45.24,14.57,7.72,0.08,78
-41.11,-44.94,17.55,6.93,0.08,79
-40.8,-44.63,21.27,5.93,0.08,104
-40.5,-44.32,26.29,5.24,0.08,134
-40.2,-44.02,31.46,4.67,0.08,107
-39.89,-43.71,34.78,4.64,0.08,125
-39.6,-43.41,36.18,5.27,0.09,111
-39.3,-43.11,35.05,6.2,0.09,141
-39.01,-42.81,32.08,7.35,0.09,136
-38.71,-42.51,27.43,8.29,0.09,128
-38.41,-42.19,22.63,8.52,0.08,120
-38.1,-41.88,17.82,8.04,0.09,95
-37.8,-41.58,13.1,7.69,0.08,102
-37.51,-41.27,9.03,8.03,0.08,97
-37.2,-40.96,5.47,8.39,0.09,91
-36.9,-40.65,2.91,8.26,0.09,73
-36.6,-40.34,0.44,7.75,0.09,71
-36.31,-40.04,-0.85,6.86,0.09,66
-36,-39.73,-1.28,6.49,0.09,74
-35.7,-39.41,-0.93,6.47,0.09,74
-35.4,-39.1,0.68,6.15,0.09,76
-35.1,-38.79,3.17,6,0.09,85
-34.8,-38.48,5.7,5.95,0.09,94
-34.5,-38.17,8.34,7.06,0.09,92
-34.2,-37.86,11.25,7.84,0.09,101
-33.9,-37.54,16.46,8.46,0.09,86
-33.6,-37.22,22.33,7.96,0.09,97
-33.3,-36.91,29.73,7.11,0.08,94
-33,-36.6,36.46,5.6,0.08,105
-32.7,-36.29,42.28,4.96,0.08,123
-32.4,-35.97,44.98,5.71,0.08,122
-32.1,-35.65,44.15,7.91,0.08,146
-31.8,-35.34,39.03,10.5,0.09,151
-31.5,-35.02,31.84,12.63,0.09,186
-31.2,-34.71,23.87,13.74,0.09,174
-30.9,-34.39,15.9,13.7,0.09,206
