"Pc_Latitude","Pg_Latitude","Longitude","u","v","correl"
-69.11328,-71.54658,177.39977,2.7235,-1.0913,0.98735
-69.00234,-71.44656,177.39977,2.73754,-1.09139,0.98909
-68.89143,-71.34655,177.41643,2.35849,-1.09148,0.98963
-68.78056,-71.24653,177.41643,2.3705,-1.09157,0.98931
-68.66973,-71.14651,177.41643,2.38251,-1.09166,0.98877
-68.55893,-71.04649,177.41643,2.3945,-1.09175,0.98784
-68.44817,-70.94647,177.51643,0,-1.09184,0.9865
-67.89489,-70.44638,177.43311,2.05522,-1.09231,0.98657
-67.78434,-70.34636,177.46643,1.23909,-1.0924,0.98713
-67.12182,-69.74625,177.24974,6.79871,-1.09298,0.95794
-67.01153,-69.64623,177.28308,5.97653,-1.09307,0.94305
-66.68088,-69.34618,177.34975,4.3281,-1.09336,0.90759
-66.57074,-69.24616,177.2664,6.52168,-1.09346,0.89794
-66.46064,-69.14614,177.21642,7.86141,-1.09356,0.89001
-66.35057,-69.04612,177.18307,8.7742,-1.09366,0.88938
-66.20388,-68.91276,137.29605,-1.32409,1.09388,0.53257
-65.98396,-68.71272,177.06639,12.02164,1.09399,0.93277
-65.94732,-68.67939,135.47922,-2.67561,-1.09412,0.60227
-65.91069,-68.64605,177.11639,10.71722,-1.09406,0.94381
-65.80082,-68.54603,177.43311,2.24253,-1.09416,0.94911
-65.69098,-68.44601,135.52921,-4.05448,-1.09435,0.61976
-65.54459,-68.31265,177.06639,12.23268,1.09439,0.96053
-65.43485,-68.21263,177.03307,13.19535,1.09449,0.96576
-65.32514,-68.11261,176.73303,21.4771,1.0946,0.96849
-65.21547,-68.0126,176.69969,22.48636,1.0947,0.9713
-65.14239,-67.94592,176.99973,14.26625,-1.09477,0.96999
-65.03278,-67.8459,176.56635,26.34222,-1.09487,0.96836
-64.95974,-67.77922,137.27937,-0.92695,-1.09503,0.60852
-64.92322,-67.74588,135.27919,2.78474,-1.09506,0.5777
-64.92322,-67.74588,176.533,27.38102,-1.09497,0.96875
-64.8137,-67.64586,176.58302,26.09734,-1.09508,0.9686
-64.70422,-67.54584,136.99603,7.02,-1.09527,0.7017
-64.70422,-67.54584,176.63303,24.80194,-1.09518,0.97094
-64.66773,-67.5125,135.1125,7.49833,-1.09531,0.77391
-64.59477,-67.44582,176.61635,25.37439,-1.09528,0.97299
-64.48537,-67.34581,176.533,27.83793,-1.09539,0.97451
-64.39423,-67.26246,134.77914,17.04523,0,0.87175
-64.376,-67.24579,176.46634,29.84693,-1.09549,0.97464
-64.26668,-67.14577,176.13297,39.48228,-1.0956,0.97527
-64.1574,-67.04575,176.49966,29.13467,-1.0957,0.97617
-64.04815,-66.94573,176.533,28.29304,-1.09581,0.97758
-63.90256,-66.81237,134.72914,18.80376,-1.09604,0.91848
-63.90256,-66.81237,176.64969,25.06959,1.09595,0.97811
-63.82979,-66.74569,176.71635,23.20264,-1.09602,0.97785
-63.72067,-66.64567,176.33299,34.45687,-1.09613,0.97309
-63.64794,-66.579,173.84943,34.06108,-1.0962,0.96545
-63.61159,-66.54566,176.14964,39.95252,-1.09623,0.96018
-63.53889,-66.47898,173.66608,39.56876,-1.09631,0.9507
-63.50255,-66.44564,176.13297,40.59875,-1.09634,0.946
-63.42987,-66.37896,173.63274,40.70467,-1.09641,0.94266
-63.39355,-66.34562,134.51245,25.53701,-1.09654,0.87227
