     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -69.93       -72.28         0.74         0.00          NaN     1
      -69.60       -71.99        -0.97         0.58         0.13     0
      -69.28       -71.70        -2.69         1.17         0.13     2
      -68.94       -71.39         2.81         0.58         0.07     0
      -68.60       -71.08         8.31         0.00         0.01     1
      -68.60       -71.08         8.31         0.00         0.01     0
      -67.71       -70.28        11.93         0.00         0.00     0
      -67.71       -70.28        11.93         0.00         0.00     1
      -67.44       -70.04         1.22         2.23         0.04     0
      -67.01       -69.64       -11.79         4.46         0.05     2
      -66.84       -69.49        -6.13         2.23         0.05     1
      -66.51       -69.19        -0.99         0.00         0.01     1
      -66.22       -68.93         5.48         0.00         0.01     1
      -65.95       -68.69         4.64         0.00         0.01     1
      -65.68       -68.44         3.57         0.00         0.01     1
      -65.37       -68.15         8.20         5.82         0.04     1
      -65.07       -67.88        11.47         3.88         0.06     2
      -64.77       -67.60        20.18         4.60         0.05     1
      -64.50       -67.36        22.30         1.08         0.04     2
      -64.19       -67.07        29.26         5.57         0.07     1
      -63.90       -66.81        30.90         8.72         0.10     2
      -63.60       -66.53        31.25         9.66         0.10     2
      -63.30       -66.26        32.99         8.40         0.10     4
      -63.01       -65.99        31.66         7.54         0.09     3
      -62.70       -65.71        31.92         7.34         0.08     3
      -62.41       -65.44        26.03         8.15         0.08     4
      -62.11       -65.17        24.18         7.54         0.08     4
      -61.81       -64.89        22.20         5.70         0.08     3
      -61.50       -64.60        18.69         5.00         0.07     4
      -61.21       -64.33        14.53         5.35         0.08     4
      -60.87       -64.02        11.70         3.54         0.05     4
      -60.56       -63.73        11.79         1.93         0.06     1
      -60.24       -63.43        11.98         1.43         0.06     3
      -59.96       -63.18        10.80         2.50         0.07     4
      -59.69       -62.92         9.94         3.87         0.07     4
      -59.40       -62.65         7.99         4.16         0.07     7
      -59.11       -62.38         7.15         4.78         0.09     8
      -58.79       -62.08         6.69         5.46         0.09     9
      -58.48       -61.80         7.37         6.14         0.09     9
      -58.18       -61.51         7.01         6.99         0.08     8
      -57.89       -61.24         7.53         5.44         0.08    10
      -57.59       -60.96         7.72         4.58         0.08     8
      -57.30       -60.69         6.36         4.38         0.08     7
      -57.00       -60.41         3.15         5.06         0.09     8
      -56.70       -60.13         0.21         5.63         0.09     9
      -56.39       -59.83        -1.06         4.84         0.09    13
      -56.08       -59.55        -2.19         4.79         0.09    11
      -55.79       -59.27        -3.43         3.78         0.08    13
      -55.51       -59.01        -3.50         3.29         0.07    12
      -55.22       -58.73        -3.29         3.25         0.07     9
      -54.93       -58.45        -3.61         3.67         0.08    10
      -54.61       -58.15        -4.84         3.80         0.09    13
      -54.29       -57.85        -5.38         3.47         0.09    19
      -53.98       -57.55        -5.72         3.01         0.09    19
      -53.69       -57.28        -5.25         3.07         0.08    17
      -53.40       -57.00        -5.03         3.03         0.07    16
      -53.11       -56.72        -5.34         3.29         0.08    13
      -52.82       -56.44        -5.75         3.11         0.08    19
      -52.50       -56.13        -5.36         3.37         0.09    13
      -52.20       -55.85        -4.67         3.97         0.09    26
      -51.90       -55.56        -4.16         3.71         0.08    19
      -51.60       -55.27        -3.91         4.39         0.08     7
      -51.30       -54.98        -2.57         4.41         0.08    18
      -51.00       -54.69        -0.21         5.08         0.08    20
      -50.71       -54.42         2.41         5.32         0.08    28
      -50.41       -54.13         3.09         5.17         0.08    17
      -50.08       -53.81         7.21         7.31         0.07     7
      -49.78       -53.52        10.60         6.75         0.06     4
      -49.49       -53.23        18.88         7.41         0.06     4
      -49.19       -52.95        26.20         5.90         0.08    15
      -48.89       -52.65        34.71         6.07         0.08     6
      -48.61       -52.38        38.06         5.62         0.08    28
      -48.31       -52.09        35.28         4.96         0.08    14
      -48.00       -51.78        30.12         5.10         0.07     9
      -47.69       -51.48        23.95         4.92         0.07    22
      -47.41       -51.21        17.95         4.62         0.07    29
      -47.11       -50.92        11.37         4.55         0.09    33
      -46.81       -50.62         5.14         3.62         0.09    15
