     Lat(Pc)      Lat(Pg)       U(m/s)      Sigma_U     Sigma_Lt   Npt
      -60.22       -63.42        10.84         3.79         0.02     2
      -60.03       -63.24         7.19         4.77         0.05     2
      -59.74       -62.97         4.11         4.38         0.08     3
      -59.58       -62.82         2.48         3.71         0.11     2
      -59.41       -62.67         3.33         1.66         0.11     0
         NaN          NaN          NaN          NaN          NaN     0
         NaN          NaN          NaN          NaN          NaN     0
      -57.86       -61.22        27.08         0.01         0.01     0
      -57.74       -61.10        25.52         0.96         0.04     1
      -57.59       -60.96        21.89         2.85         0.06     4
      -57.31       -60.70        16.45         4.78         0.08     5
      -57.01       -60.41         8.88         6.51         0.09     8
      -56.70       -60.13         2.91         5.81         0.09    17
      -56.39       -59.83        -2.62         5.38         0.09    19
      -56.08       -59.54        -6.33         4.27         0.08    22
      -55.79       -59.27        -8.57         3.78         0.08    18
      -55.50       -59.00       -11.23         3.17         0.07    15
      -55.21       -58.72       -12.18         2.99         0.08    12
      -54.90       -58.43       -12.98         2.86         0.09    18
      -54.59       -58.14       -12.32         3.44         0.09    14
      -54.28       -57.84       -12.32         3.57         0.08    14
      -53.98       -57.55       -12.22         3.85         0.08    19
      -53.69       -57.27       -12.23         3.23         0.08    29
      -53.39       -56.99       -11.77         2.66         0.08    32
      -53.10       -56.72       -11.37         2.13         0.08    28
      -52.81       -56.43       -10.59         1.94         0.08    30
      -52.50       -56.14        -9.50         2.16         0.09    28
      -52.20       -55.85        -7.94         3.00         0.09    30
      -51.89       -55.55        -5.13         3.50         0.08    31
      -51.60       -55.28        -3.54         4.34         0.08    21
      -51.30       -54.99        -3.06         4.72         0.08    18
      -51.01       -54.70        -3.30         5.78         0.09    19
      -50.71       -54.41        -2.69         5.96         0.09    12
      -50.41       -54.12        -0.62         7.28         0.07    10
      -50.14       -53.86        -2.15         7.60         0.04     3
      -49.84       -53.58         2.44         9.08         0.02     1
      -49.52       -53.27        10.84         8.24         0.04     3
      -49.19       -52.94        24.21         8.40         0.07    21
      -48.87       -52.64        32.85         7.78         0.09    34
      -48.59       -52.36        37.38         6.74         0.09    33
      -48.30       -52.08        39.20         5.34         0.08    35
      -48.00       -51.78        36.21         6.05         0.08    32
      -47.70       -51.49        28.75         6.39         0.09    42
      -47.40       -51.19        20.48         5.86         0.09    44
      -47.09       -50.90        15.99         4.72         0.09    35
      -46.80       -50.61        14.73         4.31         0.08    29
      -46.51       -50.32        13.52         5.53         0.08    28
      -46.22       -50.04         7.01         4.79         0.07    24
      -45.91       -49.74        -0.44         4.68         0.08     9
      -45.60       -49.42        -7.98         3.58         0.09    24
      -45.29       -49.12       -10.50         3.38         0.09    26
      -44.99       -48.82       -11.15         3.01         0.08    40
      -44.70       -48.54       -11.22         2.73         0.08    35
      -44.41       -48.24       -12.54         2.63         0.08    40
      -44.11       -47.95       -14.56         2.53         0.09    44
      -43.80       -47.64       -15.60         3.38         0.09    36
      -43.50       -47.34       -14.74         6.67         0.08    34
      -43.20       -47.04       -12.71         9.83         0.09    24
      -42.90       -46.74       -10.83        11.58         0.08    26
      -42.61       -46.45        -9.80        10.73         0.09    38
      -42.31       -46.15        -7.63        10.66         0.08    35
      -42.01       -45.84        -0.77        10.50         0.08    26
      -41.70       -45.54         6.76         9.84         0.09    37
      -41.41       -45.24        12.10         7.21         0.09    38
      -41.10       -44.93        13.97         5.30         0.09    40
      -40.79       -44.62        17.36         4.06         0.09    45
      -40.49       -44.31        22.52         3.32         0.08    32
      -40.20       -44.02        26.80         3.57         0.08    43
      -39.91       -43.73        30.35         4.78         0.09    38
      -39.61       -43.42        33.13         5.42         0.09    41
      -39.30       -43.10        34.72         5.27         0.08    31
      -38.99       -42.79        33.92         3.85         0.08    33
      -38.69       -42.49        29.76         4.75         0.08    41
      -38.40       -42.19        25.77         4.42         0.09    33
      -38.11       -41.89        20.50         4.32         0.08    21
      -37.81       -41.58        16.96         3.28         0.08    13
      -37.50       -41.27        12.81         3.16         0.08    19
      -37.19       -40.95         9.93         3.24         0.09    29
      -36.89       -40.64         6.95         3.10         0.09    36
      -36.59       -40.33         4.02         3.09         0.09    31
      -36.29       -40.02         0.66         3.16         0.09    28
      -36.00       -39.72        -2.06         3.30         0.09    17
      -35.69       -39.40        -3.30         3.11         0.09    20
      -35.39       -39.09        -2.06         2.64         0.09    21
      -35.09       -38.78         0.14         2.22         0.08    21
      -34.80       -38.48         2.59         2.18         0.09    19
      -34.50       -38.17         4.12         1.99         0.09    27
      -34.21       -37.86         5.56         1.64         0.09    26
      -33.90       -37.54         7.30         1.59         0.09    25
      -33.60       -37.23        11.26         2.37         0.09    29
      -33.30       -36.91        18.30         2.90         0.09    24
      -33.00       -36.60        28.01         3.31         0.08    37
      -32.69       -36.27        36.74         2.28         0.08    39
      -32.39       -35.96        42.35         1.96         0.08     3
      -32.07       -35.63        42.67         1.45         0.08     6
      -31.79       -35.32        41.31         1.75         0.08    22
      -31.49       -35.01        38.85         2.49         0.08    43
      -31.21       -34.72        33.80         5.17         0.09    38
      -30.91       -34.40        25.68         7.89         0.09    36
      -30.60       -34.07        16.36         9.26         0.09    34
      -30.29       -33.75         9.30         7.69         0.09    34
      -29.99       -33.43         3.61         5.69         0.08    31
      -29.69       -33.11        -1.82         4.34         0.09    25
      -29.39       -32.79        -6.86         4.75         0.08    33
      -29.10       -32.47       -13.11         5.52         0.09    35
      -28.80       -32.16       -20.09         5.47         0.08    33
      -28.49       -31.83       -23.29         6.10         0.08    20
      -28.19       -31.51       -20.46         6.66         0.08    18
      -27.89       -31.18       -14.47         7.82         0.08    29
      -27.60       -30.88        -9.50         7.24         0.09    27
      -27.30       -30.56        -6.55         6.52         0.09    27
      -27.01       -30.24        -4.44         5.36         0.09    23
      -26.71       -29.92        -2.39         3.63         0.08    18
      -26.41       -29.60        -0.35         2.68         0.09    19
      -26.11       -29.26         2.93         3.44         0.09    20
      -25.80       -28.94         9.34         4.34         0.09    20
      -25.50       -28.61        16.75         5.17         0.09    25
      -25.20       -28.29        24.46         4.19         0.08    32
      -24.90       -27.96        28.61         3.44         0.08    39
      -24.60       -27.63        30.45         2.67         0.08    27
      -24.31       -27.32        30.53         2.49         0.08    32
      -24.01       -27.00        29.59         2.56         0.09    23
      -23.71       -26.66        28.93         2.22         0.09    32
      -23.40       -26.33        28.43         1.83         0.08    25
      -23.10       -26.00        28.24         1.53         0.08    24
      -22.81       -25.68        28.86         1.43         0.09    26
      -22.51       -25.36        29.68         1.50         0.09    28
      -22.21       -25.03        29.92         1.77         0.09    28
      -21.90       -24.69        28.39         2.26         0.09    33
      -21.60       -24.36        22.99         2.90         0.08    34
      -21.30       -24.03        16.32         2.89         0.09    29
      -20.99       -23.69         8.39         3.57         0.09    33
      -20.70       -23.37         3.98         3.92         0.09    36
      -20.40       -23.04         0.74         5.41         0.08    34
      -20.12       -22.73        -4.12         6.42         0.08    33
      -19.82       -22.40        -9.27         7.05         0.08    33
      -19.51       -22.06       -14.82         7.15         0.09    40
      -19.20       -21.72       -23.22         7.26         0.09    38
      -18.91       -21.39       -33.54         8.19         0.08    28
      -18.61       -21.06       -39.48         7.58         0.08    35
      -18.30       -20.72       -40.77         6.27         0.08    16
      -17.99       -20.38       -42.75         3.97         0.08    20
      -17.70       -20.05       -48.92         3.16         0.08    31
      -17.41       -19.73       -53.88         2.33         0.08    34
      -17.12       -19.40       -55.81         2.53         0.09    29
      -16.81       -19.06       -57.05         2.91         0.09    36
      -16.51       -18.72       -56.79         3.48         0.08    37
      -16.21       -18.39       -55.97         3.90         0.09    35
      -15.91       -18.06       -55.04         3.75         0.08    30
      -15.61       -17.71       -52.16         5.41         0.09    23
      -15.30       -17.37       -45.84         7.63         0.09    27
      -15.00       -17.03       -35.30         9.59         0.09    28
      -14.69       -16.69       -23.10         8.02         0.09    32
